species,species_original,family,authority,body_part,chemical_defence_class,unpalatability_ps_ed50,unpalatability_tf_ed50,unpalatability_trf_ed50,toxicity_bs_ld50,toxicity_df_wm,number_of_individuals,collection_location,coordinates,source_dataset,chemical_defence_class_raw,chemical_defence_class_status,unpalatability_ps_ed50_raw,unpalatability_ps_ed50_status,unpalatability_ps_ed50_exact_values,unpalatability_ps_ed50_exact_n,unpalatability_ps_ed50_exact_mean,unpalatability_ps_ed50_gt_thresholds,unpalatability_ps_ed50_lt_thresholds,unpalatability_ps_ed50_has_nr,unpalatability_ps_ed50_has_inconclusive,unpalatability_ps_ed50_unparsed_components,unpalatability_tf_ed50_raw,unpalatability_tf_ed50_status,unpalatability_tf_ed50_exact_values,unpalatability_tf_ed50_exact_n,unpalatability_tf_ed50_exact_mean,unpalatability_tf_ed50_gt_thresholds,unpalatability_tf_ed50_lt_thresholds,unpalatability_tf_ed50_has_nr,unpalatability_tf_ed50_has_inconclusive,unpalatability_tf_ed50_unparsed_components,unpalatability_trf_ed50_raw,unpalatability_trf_ed50_status,unpalatability_trf_ed50_exact_values,unpalatability_trf_ed50_exact_n,unpalatability_trf_ed50_exact_mean,unpalatability_trf_ed50_gt_thresholds,unpalatability_trf_ed50_lt_thresholds,unpalatability_trf_ed50_has_nr,unpalatability_trf_ed50_has_inconclusive,unpalatability_trf_ed50_unparsed_components,toxicity_bs_ld50_raw,toxicity_bs_ld50_status,toxicity_bs_ld50_exact_values,toxicity_bs_ld50_exact_n,toxicity_bs_ld50_exact_mean,toxicity_bs_ld50_gt_thresholds,toxicity_bs_ld50_lt_thresholds,toxicity_bs_ld50_has_nr,toxicity_bs_ld50_has_inconclusive,toxicity_bs_ld50_unparsed_components,toxicity_df_wm_raw,toxicity_df_wm_status,toxicity_df_wm_exact_values,toxicity_df_wm_exact_n,toxicity_df_wm_exact_mean,toxicity_df_wm_gt_thresholds,toxicity_df_wm_lt_thresholds,toxicity_df_wm_has_nr,toxicity_df_wm_has_inconclusive,toxicity_df_wm_unparsed_components
Hypselodoris tryoni,Hypselodoris tryoni; Hypselodoris tryoni (2),Chromodorididae,"Garrett, 1873",WB,,nr,nr,0.47; 0.53,NA (inconclusive),,9.0,"Lizard Island, GBR (1)
GBR, supplied by Cairns Marine Ltd. Stratford, QLD  (2); Mooloolaba, SE QLD (3)
GBR, supplied by Cairns Marine Ltd. (2)
Unknown (1)","14°40’S; 145°28’E
NA
; 26o40’S; 153o07’E
NA
NA",chemical_defence_modes_Table_S1_species_summary,,missing,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,0.47; 0.53,measured_multiple,0.47; 0.53,2,0.5,,,False,False,,NA (inconclusive),inconclusive,,0,,,,False,True,,,missing,,0,,,,False,False,
Mexichromis festiva,Mexichromis festiva,Chromodorididae,"Angas, 1864",WB,WR,>1,,,,,32.0,"Nelson Bay, NSW (15)",32o72’S; 152o15’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,>1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,
Notodoris (=Aegires) gardineri,Notodoris (=Aegires) gardineri,Aegiridae,"Eliot, 1906",WB,WR,nr,,,1.02,,8.0,"Lizard Island, GBR",14°40’S; 145°28’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,1.02,measured,1.02,1,1.02,,,False,False,,,missing,,0,,,,False,False,
Phyllidia coelestis,Phyllidia coelestis (1); Phyllidia coelestis (2),Phyllidiidae,"Bergh, 1905",WB,WR,0.31; 0.54,,0.69,>1 (1.41),2.47,10.0,"Lizard Island, GBR; Lizard Island, GBR (4)
Mackay, NE QLD (1)
Mooloolaba, SE QLD (1)
GBR, supplied by Cairns Marine Ltd. Stratford, QLD (1)","14o40’S; 145o28’E; 14°40’S; 145°28’E
21°39’S; 150°16’E
26°40’S; 153°07’E
NA",chemical_defence_modes_Table_S1_species_summary,WR,simple,0.31; 0.54,measured_multiple,0.31; 0.54,2,0.42500000000000004,,,False,False,,,missing,,0,,,,False,False,,0.69,measured,0.69,1,0.69,,,False,False,,>1 (1.41),greater_than,,0,,1,,False,False,,2.47,measured,2.47,1,2.47,,,False,False,
Phyllidia elegans,Phyllidia elegans,Phyllidiidae,"Bergh, 1869 ",WB,II,0.31,,,>1,,8.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.31,measured,0.31,1,0.31,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,>1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,
Phyllidia ocellata,Phyllidia ocellata,Phyllidiidae,"Cuvier, 1804 ",WB,II,0.37,,,0.6,,7.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary,II,simple,0.37,measured,0.37,1,0.37,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.6,measured,0.6,1,0.6,,,False,False,,,missing,,0,,,,False,False,
Phyllidia varicosa,Phyllidia varicosa (1); Phyllidia varicosa (2); Phyllidia varicosa (3); Phyllidia varicosa (4),Phyllidiidae,"Lamarck, 1801",WB,I&II; WR,0.02; 0.1; 0.12,>1,0.6; >1,0.22; 0.73,,15.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD; Lizard Island, GBR ; Lizard Island, GBR (4)
Mackay, NE QLD (1)
Mooloolaba, SE QLD (2)
GBR, supplied by Cairns Marine Ltd. Stratford, QLD (2); Mooloolaba, SE QLD ","14o40’S; 145o28’E; 14°40’S; 145°28’E
21°39’S; 150°16’E
26°40’S; 153°07’E
NA; 26o40’S; 153o07’E",chemical_defence_modes_Table_S1_species_summary,I&II; WR,mixed_or_uncertain,0.02; 0.1; 0.12,measured_multiple,0.02; 0.1; 0.12,3,0.08,,,False,False,,>1,greater_than,,0,,1,,False,False,,0.6; >1,measured_plus_greater_than,0.6,1,0.6,1,,False,False,,0.22; 0.73,measured_multiple,0.22; 0.73,2,0.475,,,False,False,,,missing,,0,,,,False,False,
Phyllidiella pustulosa,Phyllidiella pustulosa (1); Phyllidiella pustulosa (2); Phyllidiella pustulosa (3),Phyllidiidae,"Cuvier, 1804",WB,I&II; II/WR,0.05; 0.12; 0.2,0.72,0.51,0.27; 0.61; 0.85,2,78.0,"Lizard Island, GBR; Lizard Island, GBR (12)
Mooloolaba, SE QLD (27)
Mackay, NE QLD (2)
North Stradbroke Island, SE QLD (1)
Hexam Island, NSW (1)
Unknown (10); Mooloolaba, SE QLD","14o40’S; 145o28’E; 14°40’S; 145°28’E
26°40’S; 153°07’E
21°39’S; 150°16’E
27°41’S; 153°53’E
32°49’S; 151°41’E
NA; 26o40’S; 153o07’E",chemical_defence_modes_Table_S1_species_summary,I&II; II/WR,mixed_or_uncertain,0.05; 0.12; 0.2,measured_multiple,0.05; 0.12; 0.2,3,0.12333333333333334,,,False,False,,0.72,measured,0.72,1,0.72,,,False,False,,0.51,measured,0.51,1,0.51,,,False,False,,0.27; 0.61; 0.85,measured_multiple,0.27; 0.61; 0.85,3,0.5766666666666667,,,False,False,,2,measured,2,1,2.0,,,False,False,
Phyllidiopsis shireenae,Phyllidiopsis shireenae,Phyllidiidae,"Brunckhorst, 1990 ",WB,II,0.14,,,>1,,3.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD",,chemical_defence_modes_Table_S1_species_summary,II,simple,0.14,measured,0.14,1,0.14,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,>1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,
Sebadoris fragilis,Sebadoris fragilis; Sebadoris fragilis (1),Discodorididae,"Alder & Hancock, 1864",WB,NR,nr,nr,nr,nr,,5.0,"Gold Coast, SE QLD (2)
Nelson Bay, NSW (2); North Stradbroke Island, SE QLD","27 o41’S; 153 o53’E; 27o56’S; 153o25’E
32°72’S; 152°15’E",chemical_defence_modes_Table_S1_species_summary,NR,simple,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,
