species,image_id,animal_gray_sd,animal_saturation_sd,animal_edge_density,animal_luminance_edge_cv,animal_chromatic_edge_mean,animal_chromatic_edge_cv,gray_contrast_abs,saturation_contrast_abs,lab_colour_distance,luminance_edge_cv_difference,chromatic_edge_cv_difference,gray_sd_difference,saturation_sd_difference,edge_density_difference,chromatic_edge_mean_difference
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img06,47.09843027770151,66.04843864859686,0.0733291224191701,1.5136595554919414,28.89131736755371,1.194289887004154,80.77344730802841,88.62123333939616,46.21641587556165,0.5852723594794689,0.4815843664924182,15.634667012266739,36.879730960643364,0.005535270442226403,8.48855209350586
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img07,49.102864743999945,51.93209524702985,0.0438206757657817,1.4037728596074694,27.60379981994629,1.2144009044563004,98.68571628588784,62.63400428099963,53.53548578344237,0.4356990404259188,0.3245058884020705,8.275559231460576,8.492094725502959,0.029895138539443,7.1922302246093714
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img08,51.67657227867649,69.65384162004315,0.065624739418919,1.4067025729523548,28.941082000732425,1.1684307773664309,94.83815315927656,6.78923946906626,45.79444029347621,0.4264023608429541,0.4081214889409013,16.946706264649904,19.023510685280378,0.004218496768878505,11.37579727172852
Ardeadoris rubroannulata,Ardeadoris_rubroannulata_img09,43.8860625173928,66.71070754888397,0.0420053905674396,1.644730469986623,24.05201911926269,1.0077859285966069,100.4563606504976,22.28344588104328,49.09030784971127,0.0221607491730788,0.1286837038650773,6.793995775767996,16.460696605878134,0.0182095215373617,7.849859237670895
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img01,48.28947797174125,57.37654922803947,0.0420485772649533,1.0437111759909456,28.883411407470703,1.2724852683305394,7.02100006184412,34.15696887466049,20.636642900757487,0.0247429830578524,0.040986519066644,7.794749438717162,5.698765205310444,0.0223291318473609,15.87913703918457
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img10,56.59567204628953,69.5606633487321,0.0644606471575759,1.135663882140442,36.98589324951172,0.8670766108030112,135.7013484512748,91.2696298363362,58.80724373472308,0.2838788627879325,0.0141659026785205,30.370130558001552,9.5871346458555,0.03594543624873461,18.072322845458988
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img02,29.042403241570582,54.633892914184834,0.0293612095274844,1.5892889167355932,22.4534854888916,1.2852923435110477,55.78541705234593,39.427506335718505,54.46233605644305,0.6221758283331432,0.5608107124674315,5.610931704337357,9.820155846403921,0.05948210533878,10.873394012451172
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img03,50.96894514421223,61.02354532773576,0.0721388376369603,1.0261980997358937,17.283931732177734,0.8315073079638631,27.857372725625996,1.3113490071055338,20.48198382893672,0.1660846282882434,0.1583448566503557,27.245562044601144,27.302416467763372,0.041798868861537705,9.658664226531982
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img04,21.251379208028418,31.760778133006085,0.0102042090411352,1.0318320748849523,10.82929801940918,1.0678537026890076,22.599464933410676,29.92691141290805,16.74104696397222,0.3042842980917324,0.2787318715682025,4.252215547203193,17.020387689180307,0.022441221317676903,3.7290096282958984
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img05,30.18676383143055,64.97761695177563,0.0152440479700341,1.29850588101915,14.98068141937256,0.9626501976683404,97.24182873642884,18.02006723633028,41.93625030295119,0.3817209567821963,0.2017351801809114,20.88957400658337,1.9597204159338304,0.10744470689674959,0.39097309112549006
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img06,40.61018626930476,42.96569282553138,0.0181691519807199,1.1799868283700068,21.794946670532227,0.8549465472879659,135.4338354911322,63.48799830339918,53.6325790881228,0.0926536720528035,0.0135094714576562,17.413264431731328,18.306217420126927,0.011237720901436899,11.345322608947754
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img07,49.97106903413778,64.87820658647281,0.017290550090259,1.2185838447875583,19.260995864868164,0.8578852162277862,93.39197611489725,66.05066770561515,44.31297271358189,0.1256937897495647,0.0811489632347333,6.259316763507968,0.14688957550310988,0.0064975702025411,3.824538230895996
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img08,51.66282463287048,48.098544951486986,0.1662453516065683,0.8916568399628643,33.717830657958984,0.6841665849259757,27.23317843410396,50.07420817032771,34.64846521131716,0.1132585870854332,0.0928815133174543,0.9339838584294498,1.2013131560228771,0.049737080040315684,16.402311325073242
