species,image_slot,image_id,analysis_stage,source,observation_id,observation_url,license,photographer_or_observer,date_accessed,source_metadata_status,original_image_path,original_width,original_height,image_downloaded,usable,exclusion_reason,animal_clear,background_clear,segmentation_status,segmentation_qc,metrics_status,notes,source_photo_id
Hypselodoris bennetti,8,Hypselodoris_bennetti_img08,candidate,iNaturalist,340909989,https://www.inaturalist.org/observations/340909989,CC BY-NC,Harry Rosenthal,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img08.jpg,2048,1381,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal clearly visible in dorsal view; blue body, yellow margin and red spots clearly visible; suitable for colour-pattern extraction",620481587
Hypselodoris bennetti,9,Hypselodoris_bennetti_img09,candidate,iNaturalist,338865139,https://www.inaturalist.org/observations/338865139,CC BY-NC,gemstarz,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img09.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal clearly visible; blue body, yellow/orange margin and red/pink spots clearly visible; suitable for colour-pattern extraction",616330762
Hypselodoris bennetti,10,Hypselodoris_bennetti_img10,candidate,iNaturalist,336800183,https://www.inaturalist.org/observations/336800183,CC BY-NC,Felix Harper,2026/6/18,matched,raw_data/formal_images/Hypselodoris_bennetti/Hypselodoris_bennetti_img10.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal mostly visible in side view; pale blue-white body, yellow/orange mantle edge, and pink/red spots clearly visible; suitable for colour-pattern extraction",612111419
Phyllidia ocellata,1,Phyllidia_ocellata_img01,candidate,iNaturalist,372509282,https://www.inaturalist.org/observations/372509282,CC BY-NC,Terry Farr,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img01.jpg,1000,750,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; selected the clearer second photo from this observation; whole animal visible; yellow body, white tubercles and dark ocellated spots clearly visible; background visible",680702892
Phyllidia ocellata,2,Phyllidia_ocellata_img02,candidate,iNaturalist,371871668,https://www.inaturalist.org/observations/371871668,CC BY-NC,meet_me_underwater / Jack Breedon,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img02.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible; yellow body, white tubercles and dark ocellated spots clearly visible; background visible",679476699
Phyllidia ocellata,3,Phyllidia_ocellata_img03,candidate,iNaturalist,371862492,https://www.inaturalist.org/observations/371862492,CC BY-NC,maltesellin / Malte Sellin,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img03.jpg,1917,1438,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible in dorsal view; yellow body, white tubercles and dark ocellated spots clearly visible; background visible",679458270
Phyllidia ocellata,4,Phyllidia_ocellata_img04,candidate,iNaturalist,370277925,https://www.inaturalist.org/observations/370277925,CC BY-NC,cr1970,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img04.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible in dorsal view; yellow body, white tubercles and dark ocellated spots clearly visible; background visible",676436534
Phyllidia ocellata,5,Phyllidia_ocellata_img05,candidate,iNaturalist,369647627,https://www.inaturalist.org/observations/369647627,CC BY-NC,shuchen_huang,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img05.jpg,1500,1125,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; two individuals visible; main larger animal clear; yellow body, white tubercles and dark ocellated spots clearly visible; background visible",675231174
Phyllidia ocellata,6,Phyllidia_ocellata_img06,candidate,iNaturalist,369638987,https://www.inaturalist.org/observations/369638987,CC BY,quokka2 / Debra Baker,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img06.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible in dorsal view; yellow body and dark ocellated spots clearly visible; background visible; image has strong colour contrast,675211716
Phyllidia ocellata,7,Phyllidia_ocellata_img07,candidate,iNaturalist,367653640,https://www.inaturalist.org/observations/367653640,CC BY-NC,maltesellin / Malte Sellin,2026/6/18,matched,raw_data/formal_images/Phyllidia_ocellata/Phyllidia_ocellata_img07.jpg,1536,2048,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; whole animal visible; yellow body, white tubercles and dark ocellated spots visible; background visible; dorsal surface mostly clear",671440404
