species_prieto,species_clean,genus_prieto,specific_epithet_prieto,species_table_s1,genus_table_s1,specific_epithet_table_s1,in_prieto,in_table_s1,match_status
Rostanga pulchra,Rostanga pulchra,Rostanga,pulchra,,,,True,False,only_in_prieto
Sclerodoris tuberculata,Sclerodoris tuberculata,Sclerodoris,tuberculata,,,,True,False,only_in_prieto
,Sebadoris fragilis,,,Sebadoris fragilis,Sebadoris,fragilis,False,True,only_in_table_s1
Showajidaia sagamiensis,Showajidaia sagamiensis,Showajidaia,sagamiensis,,,,True,False,only_in_prieto
Tambja marbellensis,Tambja marbellensis,Tambja,marbellensis,,,,True,False,only_in_prieto
Taringa telopia,Taringa telopia,Taringa,telopia,,,,True,False,only_in_prieto
Thecacera sp.,Thecacera sp.,Thecacera,sp.,,,,True,False,only_in_prieto
Thordisa albomacula,Thordisa albomacula,Thordisa,albomacula,,,,True,False,only_in_prieto
Thorunna florens,Thorunna florens,Thorunna,florens,,,,True,False,only_in_prieto
Trapania reticulata,Trapania reticulata,Trapania,reticulata,,,,True,False,only_in_prieto
Triopha catalinae,Triopha catalinae,Triopha,catalinae,,,,True,False,only_in_prieto
Tyrannodoris ernsti,Tyrannodoris ernsti,Tyrannodoris,ernsti,,,,True,False,only_in_prieto
Tyrinna evelinae,Tyrinna evelinae,Tyrinna,evelinae,,,,True,False,only_in_prieto
Vayssierea sp.,Vayssierea sp.,Vayssierea,sp.,,,,True,False,only_in_prieto
Verconia verconis,Verconia verconis,Verconia,verconis,,,,True,False,only_in_prieto
