species,n_images,animal_gray_sd_mean,animal_gray_sd_sd,animal_saturation_sd_mean,animal_saturation_sd_sd,animal_edge_density_mean,animal_edge_density_sd,animal_luminance_edge_cv_mean,animal_luminance_edge_cv_sd,animal_chromatic_edge_mean_mean,animal_chromatic_edge_mean_sd,animal_chromatic_edge_cv_mean,animal_chromatic_edge_cv_sd,gray_contrast_abs_mean,gray_contrast_abs_sd,saturation_contrast_abs_mean,saturation_contrast_abs_sd,lab_colour_distance_mean,lab_colour_distance_sd,luminance_edge_cv_difference_mean,luminance_edge_cv_difference_sd,chromatic_edge_cv_difference_mean,chromatic_edge_cv_difference_sd,gray_sd_difference_mean,gray_sd_difference_sd,saturation_sd_difference_mean,saturation_sd_difference_sd,edge_density_difference_mean,edge_density_difference_sd,chromatic_edge_mean_difference_mean,chromatic_edge_mean_difference_sd
Doriprismatica atromarginata,9,66.60458435193249,10.90217389044525,49.95337828502662,12.042400675174434,0.05927975752654502,0.027392260361891626,1.7201649230079388,0.1508128562683249,16.139445728725857,4.247964084731631,1.229242215963233,0.22933270686119084,92.4669763726302,18.05598329551659,79.67900561761466,22.15546453849284,40.2834768157737,6.631519575673983,0.5520635956096496,0.12823581984239016,0.29548052642500466,0.21379048932566164,17.006042811964246,14.93396077399683,12.500255236714828,6.99448682386698,0.03693303440134124,0.013185220063744106,7.57859876420763,7.976431984958903
Glossodoris hikuerensis,10,46.67389020083545,7.674258012795966,43.77986279902845,15.194662333468473,0.19968362291404682,0.0500656344342927,0.788277645618958,0.06289322286211693,24.500048828125,7.3271056985562195,0.7785407477673568,0.1761128213460467,64.17589134114384,31.12575115007853,40.62806645574096,38.101203219392936,28.21851061555252,10.693319607987995,0.24576226190960943,0.2443440525057657,0.14538552620548884,0.18658251350069943,11.06881919459249,6.46835716929871,11.62466047947155,6.977907958861505,0.13114869051808098,0.06279764766786645,10.324491405487061,8.859037616444558
Goniobranchus collingwoodi,10,52.877599828435336,7.59900889868073,58.38586353636292,10.395393922789653,0.05232720486397795,0.022469924001867946,1.2294268928159393,0.22356759347976285,23.091492462158204,5.407779107805848,0.9867922784203227,0.12575880107139797,83.4458004900514,22.69432959117786,27.863652388352754,13.816496080597865,37.214484824777934,9.36578584344615,0.12581016350484125,0.12226565923292207,0.10133880853896557,0.08837171942797888,15.09826173935079,10.806480252495476,12.080214977846566,9.74618722170967,0.03832093100308836,0.021580079153798126,12.472089862823486,6.035804427934249
Goniobranchus daphne,10,45.6122327817566,7.4969501736790125,50.649580651287394,15.033462180064983,0.02320483805328504,0.018554086724770453,1.3978215195998183,0.2692160487307382,12.768440198898315,6.560458552079484,1.2381283538146692,0.26800341895405827,87.51915475319642,22.07618299150135,44.14012248447394,36.889942610752385,35.55261472580982,9.000337427686636,0.5189088081693322,0.22969240988095949,0.42357860696010574,0.19155349376341882,14.036391282302901,6.045383219533636,14.09574065274741,12.005870343243387,0.01681599965748637,0.013203143217912583,2.7331154108047486,2.359433300726111
Goniobranchus splendidus,10,56.930901078950114,12.560211779729686,67.00346001143876,17.93956018808022,0.0368630668224176,0.026157009340632868,1.5575883007832165,0.21842390405014436,16.846802091598512,6.680004348011177,1.3700907667548259,0.24769806136265796,72.07162667030238,26.40776191688086,36.37554107118068,30.052469152126772,30.629131144091453,11.066893282343917,0.5100845175979474,0.2782686635559306,0.4389973117124514,0.2673019183581863,14.215346850356331,4.091592739725992,20.044352779167752,10.613677960517137,0.035779483668411396,0.0325142991738785,4.276622390747071,1.749432577118415
Goniobranchus tasmaniensis,10,40.59327087239365,8.241862016757114,60.83489755265413,24.977473602705945,0.016702688614395972,0.013014021398642894,1.3992500631390152,0.25869364888087576,14.496559000015258,5.245332553390632,1.4597121849001866,0.26970614162792234,109.37230509323824,44.6239818173153,70.05852650395471,50.09773267859011,47.81394117889998,15.849511223115279,0.20993606561436673,0.17413118733497188,0.35336533751405996,0.20228486309634233,14.631551088801245,11.34923036362418,32.29826517591007,9.49916455764492,0.009148124583843639,0.008841106759773877,6.0421095371246345,3.5442920306321684
Goniobranchus tinctorius,9,48.97309687475197,10.482046045842148,58.769056250084496,14.16061662462003,0.10849942445589218,0.0543510598506583,1.0280795013801223,0.14140573951468938,28.630757967631023,17.92981357483391,0.8120339841430559,0.10667681083033796,62.30263543789946,27.51793359775937,32.46222148501661,24.62782092818378,29.323491358478673,9.28754388890311,0.22162823989240207,0.20731261358491435,0.16566263859481134,0.20254859033915396,8.716404053452921,6.7657475386066075,14.065893118833456,7.189839008448944,0.05530180892366863,0.030954855124560764,15.059854878319634,13.491113440912494
Halgerda aurantiomaculata,10,33.66964178447982,9.304557996811646,77.74022813460526,20.525788947362766,0.014694626563184729,0.012713181350416578,1.3150223340173972,0.3299312295429096,23.330619430541994,4.617998590170793,1.3902918571578446,0.3656006449546846,55.44556647599741,38.12465479449821,32.76634642486131,21.01408904720092,26.350501113901675,13.959750087388393,0.35998912872082645,0.26444836987249154,0.3611909307972863,0.27556548068345743,16.243704652210717,11.057175093500808,17.770437407831643,16.34254136798013,0.05811774755976097,0.032552669530162906,8.301401805877685,5.162179699933066
Hypselodoris bennetti,10,50.745106722468,15.131545895992877,54.14606977425545,16.981949269481678,0.026768404827096047,0.020238371729624578,1.3439512291974416,0.23664566125940517,19.12838497161865,7.188422798219621,1.3693104537873975,0.24131133014923967,71.74857553502568,21.04005529882893,48.708155610845196,29.873881073951438,36.951573826962466,10.007527478243443,0.3335403426876252,0.17930651784808005,0.5137369830092513,0.16071297398733528,10.036449977851188,8.300153644103508,11.440296281483555,7.764376204531369,0.02207009810327158,0.018530855063525302,8.332056522369387,7.497778457746608
Hypselodoris obscura,10,50.93264916449359,20.76658815570016,61.72027596370164,7.045780075630865,0.04232802968964107,0.0407118725844717,1.1458502847358634,0.1363749214682219,23.237861824035644,7.844019196224151,1.0291444058377206,0.19446131107321923,31.285480790343932,25.560569804674508,43.678437428291645,42.07637911994202,25.85044264117723,7.126113080929227,0.1717534592598808,0.1048925371363257,0.21080983364096872,0.17604247393802036,14.160924247763663,4.132788085732952,16.83995082476984,13.851748025511153,0.01968613092069838,0.03608456306297658,11.259330749511719,6.56206175396681
Hypselodoris tryoni,10,61.2795747216064,6.785358113429262,50.13761931280026,12.561603158599507,0.03434313539106017,0.013893822298965118,1.6957910113890087,0.2888268743852424,15.883437728881836,4.397967393473586,1.337478272005022,0.19492875028046505,73.0518489494581,31.58313831998609,52.84010785939805,38.88825020445607,31.67329950163447,12.96087252299528,0.5073091908055624,0.2498426481117895,0.352191203602417,0.19029764659851794,19.157311090608506,12.77145422697109,11.670865783705489,6.3950846200569105,0.04194881259027181,0.03646955525510442,4.116666030883788,3.4042532196733597
Mexichromis festiva,10,45.4972043645398,7.419304255242299,47.35863028359418,9.631081695636801,0.01406218315349525,0.011168229278530246,1.29816902719807,0.22391925765174253,12.092366981506348,4.170078129894241,1.2215237225057685,0.2376305477852454,100.68131186752052,21.77516457308577,70.68830396145282,37.55832114034951,43.70901378814508,9.501655897711471,0.344453872229635,0.16197094259644815,0.431797304673699,0.23052623534282282,16.315024778483814,7.149952128161751,13.61653087803233,10.330122277144753,0.01341282837337138,0.01598189487743531,2.853731632232666,3.3442882187908856
Notodoris (=Aegires) gardineri,10,60.67711795514498,16.927637093499097,43.47057761497386,12.342444214574678,0.04587982843535911,0.011850652331656502,1.6308559989443043,0.3190593448043352,23.073329353332518,4.093179480661672,1.3517662587106636,0.20769358432625848,40.91126231061658,27.00534027615267,77.50578438742237,48.31062825025669,37.71388869418422,12.969100091188148,0.4885202389432578,0.3260225754803081,0.39692187275611696,0.2390812846818489,19.831172409675055,13.968088073803964,16.77107010961425,12.39395998438693,0.041827957175837274,0.04782093856543045,7.800529479980469,2.6487205291629423
Phyllidia coelestis,10,60.1394832329799,13.19117373303359,62.62209156889959,8.839193246879276,0.10333682956856696,0.06250411450687844,1.177855819167847,0.2535736380705757,19.599126243591307,6.73639467590886,1.0675957328998398,0.12178760810860523,31.18583523611747,23.128807542314444,39.723867960987214,20.088732798548296,24.03571864537647,6.277379208208106,0.20363732536828255,0.16502227768430675,0.23994977855918612,0.07934045764720114,13.504568660915846,8.152607918380193,15.693890778086564,11.921239454964779,0.05521683228598142,0.036486154471771684,7.118981409072876,3.664392612910145
Phyllidia elegans,10,52.90675029242832,8.92668945416997,36.63147314688972,14.830842733069728,0.05128099182351516,0.04650216480997343,0.9936277372417557,0.14130312169254514,13.21253924369812,8.712144836191168,1.031753345815853,0.1885324262099282,37.11119810494779,25.05211000196962,69.01690058459369,32.58699910459611,23.03595032200324,8.627188349251817,0.2064055663343063,0.13158409420371184,0.14332751207739125,0.1133429560445729,11.297932934577707,8.923661921793954,11.034625619690939,8.778934353251364,0.02127250387393137,0.017151191664113684,4.892954349517821,5.483994462294798
Phyllidia ocellata,10,62.74899449126126,9.448727790972686,77.97667201809512,11.905684805834916,0.06155693027022212,0.04697469841490714,1.3705486879722146,0.22364629088777244,26.318212223052978,9.075974431604251,1.0746563354134113,0.22422940192670776,42.997075725979286,33.15334157538598,48.458542587469125,24.04799480457281,25.190049686985503,10.693609901190339,0.42266488811913305,0.21016710052135323,0.26330200796990405,0.17190723103185826,15.000182586158534,10.155893025523223,25.28934185580415,12.957036586735331,0.057217173780467645,0.05022065316112618,13.109660243988037,7.030460009568751
Phyllidia varicosa,10,74.67521789110017,11.923904472461444,68.09349731265071,17.087216643538948,0.07021018767568007,0.030359261412937124,1.4966684568178592,0.3771265639716815,26.61027798652649,24.862524394015143,1.0419522848154612,0.19457432223411472,31.52167973105302,21.29449337369663,59.89011045510142,43.63833004938541,19.29051862899004,7.337002975954776,0.41118029062306843,0.2836217935199707,0.19291229668164317,0.1346261080764202,22.510213158008092,10.150120366072704,17.478942618533416,13.518587870999632,0.04435865763599993,0.037364625150322614,13.526206254959106,22.684818680474798
Phyllidiella pustulosa,10,58.11257301964331,20.494209498198515,50.29040334025613,22.150321415209252,0.038750821448095274,0.04962496730071805,1.0620707207752078,0.1259569103195769,13.087400674819946,3.7423077673053506,0.861947031081321,0.08492437031885629,40.8199571473004,34.43824444334034,46.91898844459886,17.989076201404913,29.977447560113752,9.778897033759158,0.1507521620027938,0.09752506669579326,0.16369158429659456,0.10588919779497181,15.003341884931462,11.905645983560653,14.520804887572222,10.05738598112267,0.016833311718774648,0.02612571915056564,3.5638249397277826,4.292673503041829
Phyllidiopsis shireenae,10,49.39459533000495,10.307212570085035,50.25522771838829,11.773872742503444,0.031295205406436676,0.024933244882920508,1.4906377127994164,0.3531729590597988,13.309566497802734,16.077242335679717,1.0878560004099893,0.23521434449460946,46.89039405134117,26.118907989902326,40.431837645395625,30.37302115098134,34.308204145040484,10.30338838663367,0.38349644699969987,0.2973956957986328,0.2959163941382477,0.16964373367543117,11.177869646738827,8.599250579375198,11.558761914942144,7.768091292486205,0.026294405448537277,0.020481983846522465,6.151831102371216,4.038803905187932
Sebadoris fragilis,9,49.42700445301206,7.729696413355709,31.366902406666426,11.411011116795084,0.16726537489524654,0.06678778282547708,0.8555363414144277,0.09754117885821718,13.053299532996284,7.21979739555098,0.6902124657776532,0.11080436790705503,21.27865081591564,15.654837528544723,26.452196992453874,24.11028024945364,13.790396874302433,8.441800476139756,0.1780922266983859,0.2500903507715735,0.20542776205538207,0.2838737003470011,8.806846587684865,6.4917083323826805,10.629191077777369,5.600012416998088,0.07472429819851618,0.04849978609897383,3.1030135684543185,3.4292368721440933
