species,n_images,animal_gray_sd_mean,animal_saturation_sd_mean,animal_edge_density_mean,animal_luminance_edge_cv_mean,animal_chromatic_edge_mean_mean,animal_chromatic_edge_cv_mean,gray_contrast_abs_mean,saturation_contrast_abs_mean,lab_colour_distance_mean,luminance_edge_cv_difference_mean,chromatic_edge_cv_difference_mean,gray_sd_difference_mean,saturation_sd_difference_mean,edge_density_difference_mean,chromatic_edge_mean_difference_mean,animal_gray_sd_z,animal_saturation_sd_z,animal_edge_density_z,animal_luminance_edge_cv_z,animal_chromatic_edge_mean_z,animal_chromatic_edge_cv_z,gray_contrast_abs_z,saturation_contrast_abs_z,lab_colour_distance_z,luminance_edge_cv_difference_z,chromatic_edge_cv_difference_z,gray_sd_difference_z,saturation_sd_difference_z,edge_density_difference_z,chromatic_edge_mean_difference_z,mean_normalised_boldness,mean_normalised_detectability
Goniobranchus collingwoodi,10,52.877599828435336,58.38586353636292,0.0523272048639779,1.2294268928159393,23.091492462158204,0.9867922784203228,83.4458004900514,27.863652388352754,37.214484824777934,0.1258101635048412,0.1013388085389655,15.09826173935079,12.080214977846566,0.0383209310030883,12.472089862823486,0.1766177018231151,0.31278047202282805,-0.18205174393573245,-0.262141582039364,0.5725545432063525,-0.4177223741225631,0.8798263581575934,-1.1779294362881065,0.5712155240031564,-1.43545683124903,-1.2231475043997244,0.2531081809230639,-0.539161530275858,-0.10182676932456737,1.1457669372414663,0.03333950282577267,-0.18084500791244518
Goniobranchus daphne,10,45.6122327817566,50.649580651287394,0.023204838053285,1.3978215195998185,12.768440198898316,1.2381283538146692,87.51915475319642,44.14012248447394,35.55261472580982,0.5189088081693322,0.4235786069601057,14.0363912823029,14.09574065274741,0.0168159996574863,2.7331154108047486,-0.4914866026431612,-0.3117380225764759,-0.8146150692254246,0.4048146025912519,-1.0394103269374506,0.6455589690013468,1.0268958020407262,-0.15289251666068668,0.41329331401984554,1.4718586888201666,1.1990999320872984,-0.005903130628878559,-0.13470845497993794,-0.9892947854682738,-1.3360564051128423,-0.2678127416316523,0.16581027156860195
Goniobranchus splendidus,10,56.930901078950114,67.00346001143876,0.0368630668224176,1.5575883007832163,16.846802091598512,1.370090766754826,72.07162667030238,36.37554107118068,30.629131144091453,0.5100845175979474,0.4389973117124514,14.215346850356331,20.044352779167752,0.0357794836684113,4.276622390747071,0.5493487690037338,1.0084438102987647,-0.5179463724834549,1.0375987052903914,-0.40256611351002913,1.2038280971109132,0.4691590529748078,-0.6418795370082456,-0.05456961252555132,1.4065951798256653,1.3150009419666213,0.037747689566180215,1.0589922744298594,-0.20670751448913055,-0.9427181053996101,0.4797844826183865,0.27129115214895516
Goniobranchus tasmaniensis,10,40.59327087239365,60.83489755265413,0.0167026886143959,1.3992500631390152,14.496559000015258,1.4597121849001866,109.37230509323824,70.05852650395471,47.81394117889998,0.2099360656143667,0.3533653375140599,14.631551088801244,32.29826517591007,0.0091481245838436,6.0421095371246345,-0.9530173187176553,0.510480977523635,-0.9558474524767752,0.41047259754440557,-0.7695611846687609,1.5829729600548978,1.8159090967309315,1.4793607213505886,1.5784480225624287,-0.8132706595017462,0.6713131324543593,0.13926817632385285,3.5179699074054622,-1.3057335487584973,-0.4928116771516037,-0.029083236790042172,0.7322725746017528
Goniobranchus tinctorius,9,48.97309687475197,58.769056250084496,0.1084994244558921,1.0280795013801225,28.630757967631023,0.8120339841430559,62.30263543789946,32.46222148501661,29.323491358478677,0.221628239892402,0.1656626385948113,8.716404053452921,14.065893118833456,0.0553018089236686,15.059854878319634,-0.1824302600206906,0.34371405346883344,1.0380580859053479,-1.0596129179253344,1.4375217228263308,-1.1570401722923183,0.11644725453196587,-0.8883271408455903,-0.17864039309626645,-0.7267965894349346,-0.7396310882984108,-1.303553762528766,-0.140697923152846,0.5989420821713404,1.805217852902811,0.07003508532702814,-0.16189330086118858
Halgerda aurantiomaculata,10,33.66964178447982,77.74022813460526,0.0146946265631847,1.3150223340173972,23.330619430541997,1.3902918571578446,55.44556647599741,32.76634642486131,26.350501113901675,0.3599891287208264,0.3611909307972863,16.243704652210717,17.770437407831643,0.0581177475597609,8.301401805877685,-1.5896962870951346,1.8751792134311018,-0.9994643197719089,0.07687403844576537,0.6098946886118488,1.2892891376821396,-0.13112888389027721,-0.8691743829269938,-0.4611541647646691,0.2965057417261767,0.73013740978497,0.5325044756392158,0.6026884543632661,0.7151505663926273,0.08293316306919253,0.21034607855063536,0.166495819932612
Hypselodoris bennetti,10,50.745106722468,54.14606977425545,0.026768404827096,1.3439512291974416,19.12838497161865,1.3693104537873977,71.74857553502568,48.7081556108452,36.95157382696247,0.3335403426876252,0.5137369830092513,10.036449977851188,11.440296281483556,0.0220700981032715,8.332056522369387,-0.019480831697325684,-0.029480747875289207,-0.7372112763611003,0.19145195535058496,-0.046292469134177144,1.2005269704470927,0.4574952133621256,0.13478672687059126,0.5462319312243255,0.10089334986218321,1.8768122951563195,-0.9815683226684955,-0.6675732334391573,-0.7724680377159111,0.09074503189759764,0.09325226678829755,0.08726166161661984
Hypselodoris obscura,10,50.93264916449359,61.72027596370164,0.042328029689641,1.1458502847358634,23.237861824035644,1.0291444058377206,31.28548079034393,43.678437428291645,25.85044264117723,0.1717534592598808,0.2108098336409687,14.160924247763663,16.83995082476984,0.0196861309206983,11.25933074951172,-0.0022349152856158522,0.5819539575881065,-0.3992425903922878,-0.5931612630948409,0.5954104063168711,-0.23855101221651712,-1.0034346389056723,-0.18196787667624018,-0.5086731249905961,-1.0956651311128998,-0.40026370413001244,0.024472935021463332,0.41596884829352276,-0.8708498735873669,0.8367144912268699,-0.009304236180713988,-0.30929978609565906
Hypselodoris tryoni,10,61.2795747216064,50.13761931280026,0.0343431353910601,1.695791011389009,15.883437728881836,1.337478272005022,73.0518489494581,52.84010785939805,31.67329950163447,0.5073091908055624,0.352191203602417,19.157311090608506,11.670865783705487,0.0419488125902718,4.116666030883788,0.9492415150565098,-0.35306656874712283,-0.5726814912354182,1.584974558853391,-0.5529973493737296,1.0658604091624717,0.5045502161696299,0.3950030747575655,0.04465437298343942,1.3860691597890114,0.6624872739741087,1.2431910004848357,-0.6213051330599859,0.04788907134657559,-0.9834804494865106,0.3535551789526836,0.2976731763287412
Mexichromis festiva,10,45.4972043645398,47.35863028359418,0.0140621831534952,1.29816902719807,12.092366981506348,1.2215237225057685,100.68131186752052,70.68830396145282,43.70901378814508,0.344453872229635,0.431797304673699,16.315024778483814,13.61653087803233,0.0134128283733713,2.853731632232666,-0.502064317462624,-0.57740299372143,-1.0132015448021165,0.010123587856544209,-1.1449804866429871,0.5753128069551542,1.5021186778461515,1.5190219710731858,1.1883698776029907,0.18160864676507507,1.2608791398870607,0.5499008720861054,-0.23087089513586095,-1.1297372551313276,-1.3053192720316142,-0.4420354913029099,0.3928857514401963
