species,image_id,status,attempts,point1_x,point1_y,point2_x,point2_y,animal_perimeter_original_px,mask_path,qc_path
Goniobranchus collingwoodi,Goniobranchus_collingwoodi_img01,accepted,1,1792.4328647901937,1036.11812763823,277.6108645962631,645.5875559309076,6353.689045667648,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_collingwoodi/Goniobranchus_collingwoodi_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_collingwoodi/Goniobranchus_collingwoodi_img01_manual_rescue_qc.png
Goniobranchus collingwoodi,Goniobranchus_collingwoodi_img02,accepted,1,795.4883618603211,1202.2755447932088,1125.3775404453884,366.6371475685344,4770.138631224632,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_collingwoodi/Goniobranchus_collingwoodi_img02_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_collingwoodi/Goniobranchus_collingwoodi_img02_manual_rescue_qc.png
Goniobranchus collingwoodi,Goniobranchus_collingwoodi_img06,accepted,1,1061.926352929744,1603.8694061269043,397.51601439338026,289.9606817894078,6391.419057607651,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_collingwoodi/Goniobranchus_collingwoodi_img06_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_collingwoodi/Goniobranchus_collingwoodi_img06_manual_rescue_qc.png
Goniobranchus daphne,Goniobranchus_daphne_img10,accepted,1,910.7070087926056,649.2260395182429,1114.4620896833826,925.7507921557259,1321.85193669796,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_daphne/Goniobranchus_daphne_img10_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_daphne/Goniobranchus_daphne_img10_manual_rescue_qc.png
Goniobranchus splendidus,Goniobranchus_splendidus_img03,accepted,1,1145.9956141069551,724.4213669898392,984.6895084017567,1093.1210371731497,1459.6925567388535,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_splendidus/Goniobranchus_splendidus_img03_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_splendidus/Goniobranchus_splendidus_img03_manual_rescue_qc.png
Goniobranchus splendidus,Goniobranchus_splendidus_img09,accepted,1,893.7274187183742,666.2056295924743,972.5612297773058,977.9023902408652,1239.910808801651,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_splendidus/Goniobranchus_splendidus_img09_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_splendidus/Goniobranchus_splendidus_img09_manual_rescue_qc.png
Goniobranchus splendidus,Goniobranchus_splendidus_img10,accepted,1,577.7132628780876,609.3782944421195,490.4623206777641,900.2147684431975,1602.6631189584732,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_splendidus/Goniobranchus_splendidus_img10_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_splendidus/Goniobranchus_splendidus_img10_manual_rescue_qc.png
Goniobranchus tasmaniensis,Goniobranchus_tasmaniensis_img05,accepted,1,617.5635088742915,816.8496784342046,1098.0597636761504,543.4638782883194,2282.868304371834,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_tasmaniensis/Goniobranchus_tasmaniensis_img05_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_tasmaniensis/Goniobranchus_tasmaniensis_img05_manual_rescue_qc.png
Goniobranchus tinctorius,Goniobranchus_tinctorius_img01,accepted,1,493.18736152899436,684.157713796665,185.9195854417335,207.96547313062558,3347.8186571598053,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img01_manual_rescue_qc.png
Goniobranchus tinctorius,Goniobranchus_tinctorius_img02,accepted,1,322.5010309278351,933.784221468267,1669.5708394698083,506.51529657872345,3991.5314180850983,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img02_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_tinctorius/Goniobranchus_tinctorius_img02_manual_rescue_qc.png
